"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"1",1,0.737851,0.653673,0.644296,0.483064,0.464168,0.634966,0.65167,0.469241,0.467528,0.626024,0.600714,0.566279,0.552739,0.531977,0.512814,0.628221,0.584634,0.749555,0.696773,0.323268,0.228194,0.522397,0.452886,0.35805,0.318925,0.418684,0.399357,0.507568,0.519149,0.377685,0.368011,0.66101,0.632169,0.432037,0.433077,0.438715,0.402792,0.376405,0.399302,0.286934,0.294301,0.445916,0.413698,0.429982,0.401716,0.413882,0.467876,0.513632,0.455501,0.524212,0.431172,0.42902,0.35437,0.454733,0.478843,0.79445,0.670933,0.604856,0.588498,0.613534,0.519065,0.642133,0.59707,0.396728,0.426559,0.527055,0.500797,0.543442,0.492567,0.364927,0.370364,0.383146,0.367303,0.311691,0.362403,0.363798,0.374189,0.473681,0.491294,0.506776,0.481544,0.477188,0.477973,0.492521,0.409746,0.390233,0.377253,0.537746,0.538351,0.352978,0.394711,0.322004,0.412561,0.234984,0.199812,0.318174,0.331284,0.355795,0.387477,0.392031,0.426381,0.382593,0.340677,0.279491,0.320906,0.312538,0.202502,0.151257,0.282169,0.346802,0.359514,0.332326,0.34122,0.281909,0.066415
"2",0.737851,1,0.527559,0.583881,0.406094,0.37504,0.462486,0.547149,0.352618,0.356246,0.423711,0.519911,0.387324,0.448676,0.414805,0.42323,0.621902,0.661832,0.673266,0.775728,0.320205,0.245157,0.42307,0.359626,0.285416,0.283357,0.323109,0.328461,0.476344,0.544091,0.367566,0.345848,0.651968,0.659138,0.381523,0.404277,0.428426,0.419999,0.364249,0.423334,0.293834,0.328133,0.520224,0.507747,0.52277,0.51059,0.481995,0.550083,0.551709,0.504967,0.453666,0.38004,0.341167,0.286964,0.44006,0.489445,0.766907,0.86583,0.482806,0.519767,0.393996,0.353644,0.556001,0.562971,0.263265,0.264704,0.531431,0.511975,0.685804,0.665522,0.33272,0.334259,0.381325,0.421046,0.316302,0.399356,0.407415,0.440021,0.481063,0.532243,0.465337,0.455839,0.404342,0.442373,0.34527,0.325378,0.338816,0.334108,0.390159,0.424104,0.3158,0.3375,0.291799,0.359036,0.30374,0.28208,0.476182,0.394359,0.446118,0.400825,0.39358,0.364981,0.433611,0.32195,0.290534,0.309079,0.351084,0.236327,0.192293,0.342414,0.450717,0.435734,0.345911,0.424224,0.34956,0.044365
"3",0.653673,0.527559,1,0.80121,0.660622,0.576585,0.856908,0.730563,0.68123,0.589208,0.558284,0.561878,0.642017,0.608984,0.647695,0.633541,0.531237,0.495219,0.678756,0.547348,0.441207,0.352763,0.825766,0.729434,0.592766,0.513071,0.573799,0.554625,0.475552,0.489673,0.536168,0.531612,0.621832,0.571954,0.527774,0.507538,0.440797,0.426602,0.446606,0.481825,0.276213,0.295333,0.455906,0.425807,0.43317,0.436583,0.408683,0.455702,0.432394,0.459825,0.458198,0.425205,0.461323,0.38875,0.504928,0.509506,0.546222,0.525113,0.539243,0.554346,0.581794,0.528928,0.587961,0.539243,0.564523,0.563428,0.613243,0.5821,0.387418,0.407747,0.452729,0.494965,0.324691,0.318092,0.293274,0.342696,0.28735,0.303532,0.436371,0.409324,0.506363,0.515289,0.523528,0.531932,0.597757,0.521149,0.42732,0.433623,0.634438,0.619741,0.49141,0.540988,0.505231,0.570658,0.235215,0.264562,0.315689,0.336437,0.353754,0.409229,0.447728,0.522893,0.387264,0.370988,0.320131,0.37549,0.277592,0.194567,0.188536,0.262854,0.359715,0.368518,0.355861,0.345996,0.24437,0.072681
"4",0.644296,0.583881,0.80121,1,0.594273,0.58811,0.760903,0.846131,0.595492,0.615807,0.527345,0.603194,0.57875,0.654116,0.569962,0.611193,0.481833,0.466248,0.635661,0.606159,0.401015,0.315025,0.719914,0.759388,0.525434,0.54087,0.541916,0.562856,0.485324,0.519751,0.549429,0.548059,0.648875,0.64023,0.527158,0.543438,0.453183,0.460528,0.420633,0.467307,0.279481,0.30949,0.388142,0.373794,0.410794,0.388764,0.385399,0.437778,0.426153,0.412299,0.467762,0.407722,0.397372,0.334243,0.476313,0.478284,0.522573,0.532119,0.516892,0.553889,0.551056,0.576351,0.550638,0.588732,0.536217,0.598498,0.612732,0.616212,0.433687,0.451092,0.446099,0.476163,0.354399,0.343555,0.310283,0.376047,0.344531,0.367996,0.373543,0.36332,0.444363,0.465388,0.468289,0.5017,0.533079,0.530112,0.37282,0.398046,0.590385,0.603292,0.503523,0.489623,0.546626,0.540574,0.247022,0.244499,0.3589,0.314928,0.372297,0.376091,0.505116,0.503085,0.431013,0.360167,0.332177,0.360799,0.340146,0.230747,0.208705,0.289897,0.373024,0.368934,0.396406,0.321025,0.274813,0.070433
"5",0.483064,0.406094,0.660622,0.594273,1,0.732792,0.682942,0.599549,0.788687,0.686463,0.476777,0.458969,0.561053,0.483434,0.635108,0.544008,0.407882,0.418996,0.458352,0.38417,0.396218,0.265946,0.549229,0.538595,0.538825,0.422767,0.650745,0.562268,0.403285,0.354653,0.267852,0.277746,0.475839,0.410869,0.470467,0.485753,0.325812,0.316682,0.311397,0.361335,0.115526,0.131669,0.41442,0.386046,0.373105,0.403552,0.399752,0.408901,0.42044,0.457318,0.392457,0.4484,0.386608,0.383953,0.415482,0.439898,0.440575,0.436818,0.55819,0.551448,0.531724,0.514517,0.425751,0.461812,0.458856,0.49768,0.590737,0.553944,0.336608,0.374129,0.259894,0.299403,0.224907,0.181448,0.199092,0.228625,0.196511,0.193097,0.310364,0.306426,0.358136,0.381841,0.433852,0.428402,0.400698,0.381784,0.374189,0.374541,0.582424,0.590107,0.429154,0.434833,0.471638,0.502946,0.194922,0.139166,0.255118,0.21262,0.231774,0.321802,0.326475,0.42125,0.252836,0.221455,0.177667,0.216946,0.234388,0.11624,0.106006,0.178971,0.291002,0.312828,0.315815,0.294717,0.161984,-0.006851
"6",0.464168,0.37504,0.576585,0.58811,0.732792,1,0.64314,0.638442,0.679215,0.767612,0.478277,0.46941,0.535904,0.497513,0.551669,0.53905,0.340729,0.345494,0.4137,0.374779,0.352894,0.286895,0.481558,0.515757,0.511445,0.465963,0.545836,0.615439,0.362727,0.327543,0.24318,0.270381,0.459014,0.412595,0.449912,0.484518,0.313264,0.310945,0.299337,0.342198,0.138042,0.145978,0.40165,0.375268,0.347691,0.398253,0.397864,0.389422,0.419627,0.469652,0.396993,0.479836,0.395714,0.408552,0.404371,0.424957,0.395439,0.396769,0.570904,0.567771,0.522113,0.538037,0.387607,0.435224,0.409612,0.515292,0.558583,0.546169,0.315354,0.344416,0.234797,0.297109,0.218923,0.177934,0.199764,0.227723,0.20962,0.214225,0.24777,0.249111,0.308317,0.313344,0.383755,0.382378,0.353126,0.353121,0.374878,0.341118,0.514675,0.556987,0.430965,0.406491,0.478941,0.473208,0.191485,0.111746,0.251908,0.196103,0.239612,0.296549,0.330214,0.40704,0.266598,0.240772,0.202095,0.22011,0.258683,0.171023,0.101634,0.175942,0.269012,0.289106,0.299152,0.287637,0.179211,0.004389
"7",0.634966,0.462486,0.856908,0.760903,0.682942,0.64314,1,0.823136,0.756007,0.679816,0.649852,0.606115,0.734594,0.645855,0.638438,0.627733,0.480262,0.435381,0.616651,0.489738,0.39213,0.308977,0.690481,0.652284,0.510883,0.456295,0.515733,0.514727,0.524331,0.483644,0.452592,0.466835,0.603199,0.554642,0.501574,0.490797,0.379124,0.364114,0.378187,0.4172,0.233593,0.248403,0.413462,0.393239,0.386714,0.406693,0.387412,0.412962,0.415471,0.449887,0.434558,0.455914,0.409155,0.39085,0.460548,0.465631,0.481091,0.444157,0.608421,0.593543,0.688297,0.625417,0.559064,0.570793,0.55007,0.611205,0.611281,0.583418,0.33113,0.352142,0.433755,0.476719,0.319811,0.27369,0.287918,0.305568,0.259829,0.268518,0.375209,0.360829,0.451727,0.458901,0.503028,0.525678,0.522937,0.473616,0.374723,0.387516,0.635829,0.615173,0.461218,0.502495,0.488712,0.548592,0.212997,0.208125,0.283559,0.275964,0.296016,0.359941,0.432277,0.517994,0.3492,0.333837,0.264152,0.313471,0.253,0.186881,0.163536,0.230579,0.300248,0.319222,0.33102,0.290804,0.196194,0.065811
"8",0.65167,0.547149,0.730563,0.846131,0.599549,0.638442,0.823136,1,0.626151,0.691283,0.587487,0.705895,0.626829,0.737251,0.535832,0.607991,0.481041,0.464562,0.593288,0.550586,0.333236,0.254262,0.592681,0.614072,0.417802,0.434258,0.451194,0.476175,0.509412,0.555848,0.475539,0.474202,0.637128,0.631148,0.457749,0.484215,0.404652,0.410898,0.346877,0.40979,0.237378,0.2667,0.390511,0.385928,0.399626,0.392414,0.399233,0.439234,0.445993,0.441429,0.509771,0.473919,0.425171,0.365614,0.4881,0.486217,0.497866,0.480087,0.589803,0.621831,0.645516,0.685442,0.566228,0.651661,0.482419,0.626509,0.595456,0.605224,0.386099,0.408267,0.421525,0.464548,0.322021,0.32341,0.272448,0.342146,0.309348,0.33247,0.372397,0.365511,0.424716,0.437653,0.432868,0.487449,0.475519,0.455035,0.318516,0.338388,0.592014,0.587306,0.46517,0.450901,0.461899,0.470424,0.207345,0.19514,0.296128,0.270223,0.344313,0.345233,0.474282,0.467477,0.400934,0.333042,0.280745,0.30544,0.317006,0.212133,0.152863,0.248967,0.303916,0.31071,0.349964,0.286172,0.253048,0.062308
"9",0.469241,0.352618,0.68123,0.595492,0.788687,0.679215,0.756007,0.626151,1,0.738394,0.511003,0.439674,0.634055,0.505168,0.650281,0.533298,0.379538,0.378057,0.422751,0.33397,0.334506,0.255888,0.552217,0.556928,0.524118,0.441687,0.517793,0.515644,0.400055,0.330329,0.262365,0.275023,0.45602,0.397823,0.452987,0.453612,0.264208,0.229612,0.277317,0.300468,0.109807,0.131453,0.374139,0.345811,0.328821,0.369678,0.362162,0.368338,0.401101,0.448083,0.380986,0.447229,0.375508,0.357363,0.387291,0.406967,0.402107,0.398018,0.589753,0.572994,0.602006,0.569095,0.436226,0.47046,0.507064,0.547761,0.550479,0.511774,0.277889,0.310269,0.300482,0.348864,0.250038,0.193279,0.213489,0.220211,0.205089,0.201252,0.283249,0.303995,0.336297,0.353765,0.412609,0.401212,0.419119,0.373548,0.332138,0.330468,0.592859,0.587138,0.425718,0.449017,0.484223,0.528688,0.18013,0.138504,0.237397,0.216855,0.233127,0.325517,0.367198,0.47544,0.278984,0.28379,0.196169,0.250166,0.21854,0.155965,0.132759,0.169383,0.263872,0.291001,0.312533,0.284829,0.15758,0.051975
"10",0.467528,0.356246,0.589208,0.615807,0.686463,0.767612,0.679816,0.691283,0.738394,1,0.480526,0.503278,0.594924,0.57204,0.582659,0.618424,0.350985,0.352668,0.389334,0.340012,0.314519,0.233783,0.469852,0.521061,0.434656,0.398793,0.505077,0.527842,0.373519,0.363893,0.214865,0.24105,0.419048,0.376652,0.38609,0.403999,0.279672,0.285256,0.274126,0.304505,0.111955,0.141226,0.337888,0.317628,0.282789,0.325138,0.335482,0.336499,0.360287,0.405104,0.375622,0.434428,0.404811,0.381027,0.394626,0.397548,0.374278,0.376871,0.547721,0.556406,0.583766,0.637191,0.425018,0.491926,0.443466,0.569683,0.480223,0.474221,0.265855,0.29826,0.267497,0.316693,0.201774,0.171768,0.170232,0.211649,0.179127,0.194357,0.278304,0.264696,0.330627,0.337456,0.393158,0.416657,0.392771,0.369367,0.348736,0.335417,0.57715,0.590283,0.406545,0.399456,0.470363,0.467133,0.168353,0.123765,0.192657,0.163441,0.18723,0.272649,0.362788,0.433232,0.268236,0.255195,0.182503,0.224481,0.218647,0.143776,0.104146,0.168634,0.217533,0.239072,0.286949,0.243994,0.134368,0.045589
